1st Choice Logistics LLC	FCOS
IMD Transportation	IMDT
Infinity Transportation Logistics, LLC	INYU
Innovative Logistics Services Inc.	INNL
Integra Logistics Services, LLC:	ILSV
Integrated Transportation Group Inc	ITGI
Integrity Express Logistics, LLC: Integrity Express Logistics	IELC
Integrity Logistics Inc	ITYL
Intelligent Logistics, LLC	IGLO
Intermodal Sales Corporation	ISCO
International Delivery Solutions: Oak Creek, Wisconsin	N/A
Interstate Transport, Inc.	IPNS
Interstate X	INTK
J.H. Rose Logistics LLC	RSLS
Jacobson Companies dba XPO Logistics Supply Chain: Transportation & Logistics	JAWH
JC Transportation Lines, Inc.: Brokerage Division	JCAS
JC Transportation Lines, Inc.: Trucking Division	JCAS
JDT Transport, LLC	JDLA
Jeff Beckham: Kingsgate Transportation	KGSA
Jerich USA, Inc.: JRCH	JRCH
Johanson Transportation Service: JTS	JOHO
John Brumback Trucking, Inc: Logistics	BRJH
John Greene Logistics Company	GJLC
John J. Jerue Truck Broker, Inc.	JJJB
Jones-Staats Logistics, LLC	JSLP
JW Logistics LLC: JW Logistics LLC	JWLO
K&M Trucking, Inc.	KMTW
KACE Logistics LLC	KACL
Kane Traffic Services	KTSC
KFS, Inc.	KFSA
King Solutions, Inc.	KNCN
King's Transport, Inc.	KNGR
Kingdom Brokerage Inc.: Truckload Services	N/A
Kirsch Transportation Services, Inc.	KIAT
Knichel Logistics: Knichel Logistics	KNCH
Koch Logistics	N/A
KPI Logistics, Inc.	KPIL
KTI Inc, The Transportation People	KTNC
Kuehne + Nagel Inc.: Overland	KHNN
L & L Freight Services, Inc.: 788179	N/A
L L Klenske Logistics Inc	KLLL
Lakeside	LSFS
Landstar System Inc.: Expedited	LRGR
Landstar System Inc.: Flatbed	LRGR
Landstar System Inc.: Heavy Haul	LRGR
Landstar System Inc.: Refrigerated	LRGR
Landstar System Inc.: Van	LRGR
Langham Logistics: 3rd Party Logistics Company	LNHM
Lanter Delivery Systems, Inc.	LDVY
Lee Truck Broker, Inc	LTBN
Legacy Logistics	LYLO
Legion Logistics, LLC	LGGS
Lexmar Distribution, Inc	LXDI
Linkex, Inc.	LXCO
LinQ Transport, Inc.	LQAB,LQAL,LQAF
Lipman Logistics	LLSC
Lipsey Logistics Worldwide LLC	LLWL
Load Delivered Logistics, LLC	LDLC
Loadsmart, Inc.: Domestic Freight Brokerage	LOAA
LogiServe Inc.	N/A
Logisource Inc : DBA Source Transport	SRCQ
